title,price,star_rating,availability,category
Blood Defense (Samantha Brinkman #1),£20.30,Three,In stock,Mystery
1st to Die (Women's Murder Club #1),£53.98,One,In stock,Mystery
Tipping the Velvet,£53.74,One,In stock,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,In stock,Historical Fiction
A Flight of Arrows (The Pathfinders #2),£55.53,Five,In stock,Historical Fiction
The House by the Lake,£36.95,One,In stock,Historical Fiction
Mrs. Houdini,£30.25,Five,In stock,Historical Fiction
The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction
Glory over Everything: Beyond The Kitchen House,£45.84,Three,In stock,Historical Fiction
"Love, Lies and Spies",£20.55,Two,In stock,Historical Fiction
A Paris Apartment,£39.01,Four,In stock,Historical Fiction
Lilac Girls,£17.28,Two,In stock,Historical Fiction
The Constant Princess (The Tudor Court #1),£16.62,Three,In stock,Historical Fiction
The Invention of Wings,£37.34,One,In stock,Historical Fiction
World Without End (The Pillars of the Earth #2),£32.97,Four,In stock,Historical Fiction
The Passion of Dolssa,£28.32,Five,In stock,Historical Fiction
Girl With a Pearl Earring,£26.77,One,In stock,Historical Fiction
Voyager (Outlander #3),£21.07,Five,In stock,Historical Fiction
The Red Tent,£35.66,Five,In stock,Historical Fiction
The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,£49.53,One,In stock,Historical Fiction
Girl in the Blue Coat,£46.83,Two,In stock,Historical Fiction
Between Shades of Gray,£20.79,Five,In stock,Historical Fiction
While You Were Mine,£41.32,Five,In stock,Historical Fiction
The Secret Healer,£34.56,Three,In stock,Historical Fiction
Starlark,£25.83,Three,In stock,Historical Fiction
Lost Among the Living,£27.70,Four,In stock,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock,Historical Fiction
The Secret Garden,£15.08,Four,In stock,Classics
The Metamorphosis,£28.58,One,In stock,Classics
The Pilgrim's Progress,£50.26,Two,In stock,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,Two,In stock,Classics
Little Women (Little Women #1),£28.07,Four,In stock,Classics
Gone with the Wind,£32.49,Three,In stock,Classics
Candide,£58.63,Three,In stock,Classics
Animal Farm,£57.22,Three,In stock,Classics
Wuthering Heights,£17.73,Three,In stock,Classics
The Picture of Dorian Gray,£29.70,Two,In stock,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,Four,In stock,Classics
Beowulf,£38.35,Two,In stock,Classics
And Then There Were None,£35.01,Two,In stock,Classics
The Story of Hong Gildong,£43.19,Four,In stock,Classics
The Little Prince,£45.42,Two,In stock,Classics
Sense and Sensibility,£37.46,One,In stock,Classics
Of Mice and Men,£47.11,Two,In stock,Classics
Emma,£32.93,Two,In stock,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,One,In stock,Classics
Sophie's World,£15.94,Five,In stock,Philosophy
The Death of Humanity: and the Case for Life,£58.11,Four,In stock,Philosophy
The Stranger,£17.44,Four,In stock,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,One,In stock,Philosophy
Kierkegaard: A Christian Missionary to Christians,£47.13,One,In stock,Philosophy
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,Five,In stock,Philosophy
Critique of Pure Reason,£20.75,One,In stock,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,One,In stock,Philosophy
The Nicomachean Ethics,£36.34,One,In stock,Philosophy
Meditations,£25.89,Two,In stock,Philosophy
Beyond Good and Evil,£43.38,One,In stock,Philosophy
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance
Black Dust,£34.53,Five,In stock,Romance
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock,Romance
First and First (Five Boroughs #3),£15.97,Four,In stock,Romance
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock,Romance
The Wedding Dress,£24.12,One,In stock,Romance
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock,Romance
Something More Than This,£16.24,Four,In stock,Romance
Doing It Over (Most Likely To #1),£35.61,Three,In stock,Romance
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock,Romance
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock,Romance
Dirty (Dive Bar #1),£40.83,Four,In stock,Romance
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,In stock,Romance
Off the Hook (Fishing for Trouble #1),£47.67,Three,In stock,Romance
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,In stock,Romance
"Sit, Stay, Love",£20.90,Three,In stock,Romance
A Girl's Guide to Moving On (New Beginnings #2),£31.30,One,In stock,Romance
The Perfect Play (Play by Play #1),£59.99,Three,In stock,Romance
Dark Lover (Black Dagger Brotherhood #1),£12.87,One,In stock,Romance
Changing the Game (Play by Play #2),£13.38,Three,In stock,Romance
A Walk to Remember,£56.43,One,In stock,Romance
The Purest Hook (Second Circle Tattoos #3),£12.25,One,In stock,Romance
The Obsession,£45.43,One,In stock,Romance
Reservations for Two,£11.10,Three,In stock,Romance
Best of My Love (Fool's Gold #20),£27.41,Two,In stock,Romance
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,In stock,Romance
This One Moment (Pushing Limits #1),£48.71,One,In stock,Romance
"Rhythm, Chord & Malykhin",£28.34,Two,In stock,Romance
My Perfect Mistake (Over the Top #1),£38.92,Two,In stock,Romance
Listen to Me (Fusion #1),£58.99,Three,In stock,Romance
Imperfect Harmony,£34.74,Four,In stock,Romance
Fighting Fate (Fighting #6),£39.24,Three,In stock,Romance
Deep Under (Walker Security #1),£47.09,Five,In stock,Romance
Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock,Romance
Bounty (Colorado Mountain #7),£37.26,Four,In stock,Romance
