title,price_gbp,price_inr,rating,in_stock,category
The Metamorphosis,28.58,3015.1899999999996,1,True,Classics
The Pilgrim's Progress,50.26,5302.429999999999,2,True,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,1563.51,2,True,Classics
Little Women (Little Women #1),28.07,2961.385,4,True,Classics
Gone with the Wind,32.49,3427.695,3,True,Classics
Candide,58.63,6185.465,3,True,Classics
Animal Farm,57.22,6036.71,3,True,Classics
Wuthering Heights,17.73,1870.515,3,True,Classics
The Picture of Dorian Gray,29.7,3133.35,2,True,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,2825.29,4,True,Classics
Beowulf,38.35,4045.925,2,True,Classics
And Then There Were None,35.01,3693.555,2,True,Classics
The Story of Hong Gildong,43.19,4556.545,4,True,Classics
The Little Prince,45.42,4791.81,2,True,Classics
Sense and Sensibility,37.46,3952.03,1,True,Classics
Of Mice and Men,47.11,4970.105,2,True,Classics
Emma,32.93,3474.115,2,True,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,5858.415,1,True,Classics
Sophie's World,15.94,1681.6699999999998,5,True,Philosophy
The Death of Humanity: and the Case for Life,58.11,6130.605,4,True,Philosophy
The Stranger,17.44,1839.92,4,True,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,5719.155,1,True,Philosophy
Kierkegaard: A Christian Missionary to Christians,47.13,4972.215,1,True,Philosophy
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,3157.615,5,True,Philosophy
Critique of Pure Reason,20.75,2189.125,1,True,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,2112.11,1,True,Philosophy
The Nicomachean Ethics,36.34,3833.8700000000003,1,True,Philosophy
Meditations,25.89,2731.395,2,True,Philosophy
Beyond Good and Evil,43.38,4576.59,1,True,Philosophy
Chase Me (Paris Nights #2),25.27,2665.985,5,True,Romance
Black Dust,34.53,3642.915,5,True,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97,3583.835,1,True,Romance
First and First (Five Boroughs #3),15.97,1684.835,4,True,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,2316.78,1,True,Romance
The Wedding Dress,24.12,2544.6600000000003,1,True,Romance
Suddenly in Love (Lake Haven #1),55.99,5906.945000000001,2,True,Romance
Something More Than This,16.24,1713.32,4,True,Romance
Doing It Over (Most Likely To #1),35.61,3756.855,3,True,Romance
The Wedding Pact (The O'Malleys #2),32.61,3440.355,3,True,Romance
Hold Your Breath (Search and Rescue #1),28.82,3040.51,1,True,Romance
Dirty (Dive Bar #1),40.83,4307.565,4,True,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98,5694.889999999999,3,True,Romance
Off the Hook (Fishing for Trouble #1),47.67,5029.185,3,True,Romance
A Gentleman's Position (Society of Gentlemen #3),14.75,1556.125,5,True,Romance
"Sit, Stay, Love",20.9,2204.95,3,True,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3,3302.15,1,True,Romance
The Perfect Play (Play by Play #1),59.99,6328.945000000001,3,True,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87,1357.7849999999999,1,True,Romance
Changing the Game (Play by Play #2),13.38,1411.5900000000001,3,True,Romance
A Walk to Remember,56.43,5953.365,1,True,Romance
The Purest Hook (Second Circle Tattoos #3),12.25,1292.375,1,True,Romance
The Obsession,45.43,4792.865,1,True,Romance
Reservations for Two,11.1,1171.05,3,True,Romance
Best of My Love (Fool's Gold #20),27.41,2891.755,2,True,Romance
Where Lightning Strikes (Bleeding Stars #3),39.77,4195.735000000001,3,True,Romance
This One Moment (Pushing Limits #1),48.71,5138.905,1,True,Romance
"Rhythm, Chord & Malykhin",28.34,2989.87,2,True,Romance
My Perfect Mistake (Over the Top #1),38.92,4106.06,2,True,Romance
Listen to Me (Fusion #1),58.99,6223.445000000001,3,True,Romance
Imperfect Harmony,34.74,3665.07,4,True,Romance
Fighting Fate (Fighting #6),39.24,4139.820000000001,3,True,Romance
Deep Under (Walker Security #1),47.09,4967.995000000001,5,True,Romance
Charity's Cross (Charles Towne Belles #4),41.24,4350.820000000001,1,True,Romance
Bounty (Colorado Mountain #7),37.26,3930.93,4,True,Romance
